,Año,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Maximo,Minimo,Tecnlogia_Mayor,Tecnlogia_Menor
0,2014,Buenos Aires,8.0,4.0,486.0,72.0,131.0,570.0,486.0,4.0,Fibra óptica,Cablemodem
1,2014,Capital Federal,1800.0,3321.0,71.0,8.0,59.0,5200.0,3321.0,8.0,Cablemodem,Wireless
2,2014,Catamarca,97.0,774.0,65.0,0.0,177.0,936.0,774.0,0.0,Cablemodem,Wireless
3,2014,Chaco,214.0,40.0,120.0,1.0,237.0,375.0,214.0,1.0,ADSL,Wireless
4,2014,Chubut,200.0,2553.0,3505.0,46.0,27.0,6304.0,3505.0,46.0,Fibra óptica,Wireless
5,2014,Corrientes,214.0,36.0,133.0,4.0,250.0,387.0,214.0,4.0,ADSL,Wireless
6,2014,Córdoba,1360.0,941.0,1561.0,16.0,1605.0,3878.0,1561.0,16.0,Fibra óptica,Wireless
7,2014,Entre Ríos,438.0,88.0,203.0,20.0,661.0,749.0,438.0,20.0,ADSL,Wireless
8,2014,Formosa,84.0,20.0,1.0,0.0,323.0,105.0,84.0,0.0,ADSL,Wireless
9,2014,Jujuy,121.0,17.0,90.0,114.0,42.0,342.0,121.0,17.0,ADSL,Cablemodem
10,2014,La Pampa,64.0,132.0,2078.0,29.0,2715.0,2303.0,2078.0,29.0,Fibra óptica,Wireless
11,2014,La Rioja,64.0,0.0,59.0,1.0,138.0,124.0,64.0,0.0,ADSL,Cablemodem
12,2014,Mendoza,600.0,51.0,10.0,144.0,8.0,805.0,600.0,10.0,ADSL,Fibra óptica
13,2014,Misiones,229.0,72.0,28.0,453.0,45.0,782.0,453.0,28.0,Wireless,Fibra óptica
14,2014,Neuquén,198.0,121.0,1996.0,46.0,12.0,2361.0,1996.0,46.0,Fibra óptica,Wireless
15,2014,Río Negro,261.0,100.0,3541.0,16.0,8.0,3918.0,3541.0,16.0,Fibra óptica,Wireless
16,2014,Salta,297.0,71.0,181.0,130.0,2303.0,679.0,297.0,71.0,ADSL,Cablemodem
17,2014,San Juan,193.0,1787.0,2915.0,811.0,4.0,5706.0,2915.0,193.0,Fibra óptica,ADSL
18,2014,San Luis,44.0,3204.0,1418.0,92.0,1757.0,4758.0,3204.0,44.0,Cablemodem,ADSL
19,2014,Santa Cruz,74.0,1488.0,1535.0,16.0,12.0,3113.0,1535.0,16.0,Fibra óptica,Wireless
20,2014,Santa Fe,1308.0,719.0,13.0,25.0,2015.0,2065.0,1308.0,13.0,ADSL,Fibra óptica
21,2014,Santiago Del Estero,133.0,16.0,76.0,3510.0,146.0,3735.0,3510.0,16.0,Wireless,Cablemodem
22,2014,Tierra Del Fuego,88.0,13.0,2601.0,4.0,12.0,2706.0,2601.0,4.0,Fibra óptica,Wireless
23,2014,Tucumán,531.0,374.0,475.0,52.0,401.0,1432.0,531.0,52.0,ADSL,Wireless
24,2015,Buenos Aires,8.0,4.0,467.0,78.0,107.0,557.0,467.0,4.0,Fibra óptica,Cablemodem
25,2015,Capital Federal,1818.0,3451.0,90.0,8.0,54.0,5367.0,3451.0,8.0,Cablemodem,Wireless
26,2015,Catamarca,102.0,967.0,61.0,4.0,143.0,1134.0,967.0,4.0,Cablemodem,Wireless
27,2015,Chaco,224.0,112.0,715.0,183.0,179.0,1234.0,715.0,112.0,Fibra óptica,Cablemodem
28,2015,Chubut,178.0,3082.0,3654.0,53.0,20.0,6967.0,3654.0,53.0,Fibra óptica,Wireless
29,2015,Corrientes,222.0,108.0,639.0,4.0,201.0,973.0,639.0,4.0,Fibra óptica,Wireless
30,2015,Córdoba,1398.0,1034.0,1331.0,21.0,1610.0,3784.0,1398.0,21.0,ADSL,Wireless
31,2015,Entre Ríos,453.0,202.0,471.0,24.0,833.0,1150.0,471.0,24.0,Fibra óptica,Wireless
32,2015,Formosa,86.0,20.0,9.0,2307.0,134.0,2422.0,2307.0,9.0,Wireless,Fibra óptica
33,2015,Jujuy,130.0,24.0,88.0,0.0,141.0,242.0,130.0,0.0,ADSL,Wireless
34,2015,La Pampa,52.0,166.0,15.0,24.0,2097.0,257.0,166.0,15.0,Cablemodem,Fibra óptica
35,2015,La Rioja,66.0,0.0,64.0,8.0,117.0,138.0,66.0,0.0,ADSL,Cablemodem
36,2015,Mendoza,611.0,52.0,12.0,147.0,8.0,822.0,611.0,12.0,ADSL,Fibra óptica
37,2015,Misiones,237.0,121.0,161.0,20.0,58.0,539.0,237.0,20.0,ADSL,Wireless
38,2015,Neuquén,194.0,142.0,4.0,51.0,12.0,391.0,194.0,4.0,ADSL,Fibra óptica
39,2015,Río Negro,267.0,105.0,3655.0,12.0,4.0,4039.0,3655.0,12.0,Fibra óptica,Wireless
40,2015,Salta,310.0,84.0,188.0,516.0,2353.0,1098.0,516.0,84.0,Wireless,Cablemodem
41,2015,San Juan,195.0,1804.0,3065.0,4.0,2725.0,5068.0,3065.0,4.0,Fibra óptica,Wireless
42,2015,San Luis,44.0,4.0,1413.0,124.0,1543.0,1585.0,1413.0,4.0,Fibra óptica,Cablemodem
43,2015,Santa Cruz,63.0,12.0,1580.0,20.0,9.0,1675.0,1580.0,12.0,Fibra óptica,Cablemodem
44,2015,Santa Fe,1339.0,827.0,13.0,17.0,5.0,2196.0,1339.0,13.0,ADSL,Fibra óptica
45,2015,Santiago Del Estero,136.0,16.0,76.0,4.0,125.0,232.0,136.0,4.0,ADSL,Wireless
46,2015,Tierra Del Fuego,91.0,28.0,2652.0,4.0,9.0,2775.0,2652.0,4.0,Fibra óptica,Wireless
47,2015,Tucumán,565.0,597.0,464.0,352.0,250.0,1978.0,597.0,352.0,Cablemodem,Wireless
48,2016,Buenos Aires,8.0,4.0,456.0,82.0,100.0,550.0,456.0,4.0,Fibra óptica,Cablemodem
49,2016,Capital Federal,1788.0,3544.0,148.0,10.0,48.0,5490.0,3544.0,10.0,Cablemodem,Wireless
50,2016,Catamarca,106.0,986.0,57.0,4.0,120.0,1153.0,986.0,4.0,Cablemodem,Wireless
51,2016,Chaco,223.0,129.0,912.0,158.0,136.0,1422.0,912.0,129.0,Fibra óptica,Cablemodem
52,2016,Chubut,176.0,3591.0,3664.0,52.0,20.0,7483.0,3664.0,52.0,Fibra óptica,Wireless
53,2016,Corrientes,222.0,120.0,845.0,4.0,141.0,1191.0,845.0,4.0,Fibra óptica,Wireless
54,2016,Córdoba,1385.0,1104.0,682.0,24.0,1571.0,3195.0,1385.0,24.0,ADSL,Wireless
55,2016,Entre Ríos,448.0,240.0,747.0,24.0,521.0,1459.0,747.0,24.0,Fibra óptica,Wireless
56,2016,Formosa,88.0,23.0,36.0,3.0,43.0,150.0,88.0,3.0,ADSL,Wireless
57,2016,Jujuy,135.0,31.0,88.0,0.0,134.0,254.0,135.0,0.0,ADSL,Wireless
58,2016,La Pampa,52.0,180.0,20.0,24.0,2133.0,276.0,180.0,20.0,Cablemodem,Fibra óptica
59,2016,La Rioja,67.0,0.0,62.0,8.0,106.0,137.0,67.0,0.0,ADSL,Cablemodem
60,2016,Mendoza,612.0,52.0,12.0,118.0,8.0,794.0,612.0,12.0,ADSL,Fibra óptica
61,2016,Misiones,238.0,146.0,326.0,20.0,45.0,730.0,326.0,20.0,Fibra óptica,Wireless
62,2016,Neuquén,208.0,169.0,4.0,49.0,12.0,430.0,208.0,4.0,ADSL,Fibra óptica
63,2016,Río Negro,268.0,111.0,3772.0,12.0,4.0,4163.0,3772.0,12.0,Fibra óptica,Wireless
64,2016,Salta,318.0,101.0,358.0,598.0,2232.0,1375.0,598.0,101.0,Wireless,Cablemodem
65,2016,San Juan,196.0,1804.0,3082.0,4.0,3626.0,5086.0,3082.0,4.0,Fibra óptica,Wireless
66,2016,San Luis,44.0,4.0,1416.0,106.0,1500.0,1570.0,1416.0,4.0,Fibra óptica,Cablemodem
67,2016,Santa Cruz,63.0,12.0,1610.0,20.0,9.0,1705.0,1610.0,12.0,Fibra óptica,Cablemodem
68,2016,Santa Fe,1336.0,873.0,12.0,20.0,4.0,2241.0,1336.0,12.0,ADSL,Fibra óptica
69,2016,Santiago Del Estero,127.0,16.0,76.0,2736.0,97.0,2955.0,2736.0,16.0,Wireless,Cablemodem
70,2016,Tierra Del Fuego,92.0,24.0,2660.0,4.0,8.0,2780.0,2660.0,4.0,Fibra óptica,Wireless
71,2016,Tucumán,583.0,13.0,464.0,199.0,184.0,1259.0,583.0,13.0,ADSL,Cablemodem
72,2017,Buenos Aires,5.0,7.0,494.0,138.0,118.0,644.0,494.0,5.0,Fibra óptica,ADSL
73,2017,Capital Federal,2198.0,3753.0,146.0,12.0,42.0,6109.0,3753.0,12.0,Cablemodem,Wireless
74,2017,Catamarca,106.0,770.0,51.0,4.0,72.0,931.0,770.0,4.0,Cablemodem,Wireless
75,2017,Chaco,218.0,147.0,1555.0,520.0,80.0,2440.0,1555.0,147.0,Fibra óptica,Cablemodem
76,2017,Chubut,200.0,1021.0,1834.0,54.0,24.0,3109.0,1834.0,54.0,Fibra óptica,Wireless
77,2017,Corrientes,223.0,134.0,2335.0,4.0,124.0,2696.0,2335.0,4.0,Fibra óptica,Wireless
78,2017,Córdoba,1373.0,1240.0,33.0,31.0,29.0,2677.0,1373.0,31.0,ADSL,Wireless
79,2017,Entre Ríos,433.0,277.0,488.0,28.0,291.0,1226.0,488.0,28.0,Fibra óptica,Wireless
80,2017,Formosa,90.0,26.0,480.0,6.0,89.0,602.0,480.0,6.0,Fibra óptica,Wireless
81,2017,Jujuy,136.0,37.0,84.0,51.0,111.0,308.0,136.0,37.0,ADSL,Cablemodem
82,2017,La Pampa,48.0,195.0,23.0,35.0,1032.0,301.0,195.0,23.0,Cablemodem,Fibra óptica
83,2017,La Rioja,66.0,70.0,58.0,509.0,112.0,703.0,509.0,58.0,Wireless,Fibra óptica
84,2017,Mendoza,613.0,76.0,12.0,89.0,8.0,790.0,613.0,12.0,ADSL,Fibra óptica
85,2017,Misiones,226.0,174.0,409.0,20.0,80.0,829.0,409.0,20.0,Fibra óptica,Wireless
86,2017,Neuquén,199.0,204.0,4.0,48.0,12.0,455.0,204.0,4.0,Cablemodem,Fibra óptica
87,2017,Río Negro,272.0,118.0,1917.0,13.0,11.0,2320.0,1917.0,13.0,Fibra óptica,Wireless
88,2017,Salta,322.0,154.0,483.0,632.0,1485.0,1591.0,632.0,154.0,Wireless,Cablemodem
89,2017,San Juan,206.0,1358.0,3172.0,5.0,1824.0,4741.0,3172.0,5.0,Fibra óptica,Wireless
90,2017,San Luis,44.0,11.0,1390.0,95.0,754.0,1540.0,1390.0,11.0,Fibra óptica,Cablemodem
91,2017,Santa Cruz,69.0,13.0,586.0,20.0,11.0,688.0,586.0,13.0,Fibra óptica,Cablemodem
92,2017,Santa Fe,1322.0,1039.0,23.0,26.0,54.0,2410.0,1322.0,23.0,ADSL,Fibra óptica
93,2017,Santiago Del Estero,113.0,102.0,76.0,2734.0,173.0,3025.0,2734.0,76.0,Wireless,Fibra óptica
94,2017,Tierra Del Fuego,87.0,28.0,2482.0,4.0,8.0,2601.0,2482.0,4.0,Fibra óptica,Wireless
95,2017,Tucumán,607.0,21.0,443.0,170.0,714.0,1241.0,607.0,21.0,ADSL,Cablemodem
96,2018,Buenos Aires,4.0,8.0,730.0,262.0,105.0,1004.0,730.0,4.0,Fibra óptica,ADSL
97,2018,Capital Federal,1354.0,1948.0,141.0,15.0,31.0,3458.0,1948.0,15.0,Cablemodem,Wireless
98,2018,Catamarca,109.0,16.0,61.0,3.0,8.0,189.0,109.0,3.0,ADSL,Wireless
99,2018,Chaco,216.0,167.0,949.0,396.0,4.0,1728.0,949.0,167.0,Fibra óptica,Cablemodem
100,2018,Chubut,211.0,86.0,955.0,56.0,24.0,1308.0,955.0,56.0,Fibra óptica,Wireless
101,2018,Corrientes,226.0,158.0,2097.0,5.0,127.0,2486.0,2097.0,5.0,Fibra óptica,Wireless
102,2018,Córdoba,1361.0,1353.0,61.0,70.0,45.0,2845.0,1361.0,61.0,ADSL,Fibra óptica
103,2018,Entre Ríos,416.0,326.0,13.0,53.0,254.0,808.0,416.0,13.0,ADSL,Fibra óptica
104,2018,Formosa,94.0,30.0,1739.0,44.0,228.0,1907.0,1739.0,30.0,Fibra óptica,Cablemodem
105,2018,Jujuy,134.0,44.0,231.0,1949.0,173.0,2358.0,1949.0,44.0,Wireless,Cablemodem
106,2018,La Pampa,54.0,215.0,27.0,33.0,1977.0,329.0,215.0,27.0,Cablemodem,Fibra óptica
107,2018,La Rioja,67.0,140.0,51.0,1011.0,141.0,1269.0,1011.0,51.0,Wireless,Fibra óptica
108,2018,Mendoza,606.0,154.0,18.0,30.0,8.0,808.0,606.0,18.0,ADSL,Fibra óptica
109,2018,Misiones,225.0,200.0,1817.0,1213.0,174.0,3455.0,1817.0,200.0,Fibra óptica,Cablemodem
110,2018,Neuquén,182.0,218.0,2000.0,49.0,11.0,2449.0,2000.0,49.0,Fibra óptica,Wireless
111,2018,Río Negro,275.0,132.0,4.0,21.0,20.0,432.0,275.0,4.0,ADSL,Fibra óptica
112,2018,Salta,309.0,217.0,2112.0,925.0,5.0,3563.0,2112.0,217.0,Fibra óptica,Cablemodem
113,2018,San Juan,214.0,22.0,3284.0,11.0,4.0,3531.0,3284.0,11.0,Fibra óptica,Wireless
114,2018,San Luis,44.0,32.0,1482.0,138.0,30.0,1696.0,1482.0,32.0,Fibra óptica,Cablemodem
115,2018,Santa Cruz,68.0,18.0,1554.0,26.0,14.0,1666.0,1554.0,18.0,Fibra óptica,Cablemodem
116,2018,Santa Fe,1355.0,1240.0,48.0,63.0,74.0,2706.0,1355.0,48.0,ADSL,Fibra óptica
117,2018,Santiago Del Estero,104.0,231.0,92.0,8.0,324.0,435.0,231.0,8.0,Cablemodem,Wireless
118,2018,Tierra Del Fuego,77.0,79.0,1066.0,3.0,7.0,1225.0,1066.0,3.0,Fibra óptica,Wireless
119,2018,Tucumán,639.0,39.0,446.0,1558.0,994.0,2682.0,1558.0,39.0,Wireless,Cablemodem
120,2019,Buenos Aires,723.0,8.0,1813.0,313.0,98.0,2857.0,1813.0,8.0,Fibra óptica,Cablemodem
121,2019,Capital Federal,1135.0,4.0,129.0,16.0,68.0,1284.0,1135.0,4.0,ADSL,Cablemodem
122,2019,Catamarca,100.0,19.0,52.0,651.0,8.0,822.0,651.0,19.0,Wireless,Cablemodem
123,2019,Chaco,203.0,194.0,23.0,19.0,7.0,439.0,203.0,19.0,ADSL,Wireless
124,2019,Chubut,158.0,103.0,7.0,58.0,24.0,326.0,158.0,7.0,ADSL,Fibra óptica
125,2019,Corrientes,216.0,192.0,8.0,8.0,74.0,424.0,216.0,8.0,ADSL,Fibra óptica
126,2019,Córdoba,1243.0,1561.0,126.0,134.0,45.0,3064.0,1561.0,126.0,Cablemodem,Fibra óptica
127,2019,Entre Ríos,386.0,376.0,52.0,71.0,60.0,885.0,386.0,52.0,ADSL,Fibra óptica
128,2019,Formosa,89.0,34.0,944.0,57.0,555.0,1124.0,944.0,34.0,Fibra óptica,Cablemodem
129,2019,Jujuy,132.0,117.0,1574.0,3078.0,100.0,4901.0,3078.0,117.0,Wireless,Cablemodem
130,2019,La Pampa,72.0,219.0,18.0,42.0,8.0,351.0,219.0,18.0,Cablemodem,Fibra óptica
131,2019,La Rioja,59.0,140.0,34.0,1005.0,152.0,1238.0,1005.0,34.0,Wireless,Fibra óptica
132,2019,Mendoza,544.0,198.0,45.0,50.0,736.0,837.0,544.0,45.0,ADSL,Fibra óptica
133,2019,Misiones,217.0,259.0,2684.0,1707.0,44.0,4867.0,2684.0,217.0,Fibra óptica,ADSL
134,2019,Neuquén,157.0,236.0,25.0,54.0,862.0,472.0,236.0,25.0,Cablemodem,Fibra óptica
135,2019,Río Negro,253.0,146.0,28.0,42.0,62.0,469.0,253.0,28.0,ADSL,Fibra óptica
136,2019,Salta,272.0,270.0,2127.0,7.0,28.0,2676.0,2127.0,7.0,Fibra óptica,Wireless
137,2019,San Juan,197.0,26.0,815.0,20.0,19.0,1058.0,815.0,20.0,Fibra óptica,Wireless
138,2019,San Luis,44.0,37.0,1081.0,227.0,134.0,1389.0,1081.0,37.0,Fibra óptica,Cablemodem
139,2019,Santa Cruz,46.0,48.0,1731.0,28.0,11.0,1853.0,1731.0,28.0,Fibra óptica,Wireless
140,2019,Santa Fe,1296.0,1454.0,80.0,96.0,82.0,2926.0,1454.0,80.0,Cablemodem,Fibra óptica
141,2019,Santiago Del Estero,99.0,269.0,661.0,12.0,173.0,1041.0,661.0,12.0,Fibra óptica,Wireless
142,2019,Tierra Del Fuego,73.0,104.0,1304.0,0.0,313.0,1481.0,1304.0,0.0,Fibra óptica,Wireless
143,2019,Tucumán,610.0,47.0,390.0,2771.0,1314.0,3818.0,2771.0,47.0,Wireless,Cablemodem
144,2020,Buenos Aires,2624.0,8.0,2998.0,364.0,189.0,5994.0,2998.0,8.0,Fibra óptica,Cablemodem
145,2020,Capital Federal,696.0,4.0,157.0,17.0,116.0,874.0,696.0,4.0,ADSL,Cablemodem
146,2020,Catamarca,103.0,16.0,62.0,1105.0,8.0,1286.0,1105.0,16.0,Wireless,Cablemodem
147,2020,Chaco,183.0,230.0,74.0,27.0,8.0,514.0,230.0,27.0,Cablemodem,Wireless
148,2020,Chubut,184.0,144.0,8.0,81.0,49.0,417.0,184.0,8.0,ADSL,Fibra óptica
149,2020,Corrientes,203.0,229.0,11.0,18.0,20.0,461.0,229.0,11.0,Cablemodem,Fibra óptica
150,2020,Córdoba,1112.0,1691.0,383.0,188.0,45.0,3374.0,1691.0,188.0,Cablemodem,Wireless
151,2020,Entre Ríos,353.0,415.0,57.0,79.0,49.0,904.0,415.0,57.0,Cablemodem,Fibra óptica
152,2020,Formosa,86.0,39.0,8.0,60.0,1111.0,193.0,86.0,8.0,ADSL,Fibra óptica
153,2020,Jujuy,131.0,189.0,35.0,2847.0,41.0,3202.0,2847.0,35.0,Wireless,Fibra óptica
