,Año,Trimestre,Provincia,Accesos por cada 100 hogares
840,2014-01-01,1,Buenos Aires,54.57
816,2014-01-01,2,Buenos Aires,55.06
792,2014-01-01,3,Buenos Aires,56.75
768,2014-01-01,4,Buenos Aires,56.09
744,2015-01-01,1,Buenos Aires,56.37
720,2015-01-01,2,Buenos Aires,56.8
696,2015-01-01,3,Buenos Aires,57.69
672,2015-01-01,4,Buenos Aires,58.29
648,2016-01-01,1,Buenos Aires,57.34
624,2016-01-01,2,Buenos Aires,59.34
600,2016-01-01,3,Buenos Aires,60.14
576,2016-01-01,4,Buenos Aires,61.24
552,2017-01-01,1,Buenos Aires,58.57
528,2017-01-01,2,Buenos Aires,56.27
504,2017-01-01,3,Buenos Aires,55.63
480,2017-01-01,4,Buenos Aires,57.61
456,2018-01-01,1,Buenos Aires,62.63
432,2018-01-01,2,Buenos Aires,62.78
408,2018-01-01,3,Buenos Aires,64.44
384,2018-01-01,4,Buenos Aires,64.6
360,2019-01-01,1,Buenos Aires,66.24
336,2019-01-01,2,Buenos Aires,67.85
312,2019-01-01,3,Buenos Aires,69.36
288,2019-01-01,4,Buenos Aires,64.25
264,2020-01-01,1,Buenos Aires,64.33
240,2020-01-01,2,Buenos Aires,65.22
216,2020-01-01,3,Buenos Aires,67.66
192,2020-01-01,4,Buenos Aires,68.98
168,2021-01-01,1,Buenos Aires,69.11
144,2021-01-01,2,Buenos Aires,70.0
120,2021-01-01,3,Buenos Aires,71.68
96,2021-01-01,4,Buenos Aires,75.66
72,2022-01-01,1,Buenos Aires,76.08
48,2022-01-01,2,Buenos Aires,77.58
24,2022-01-01,3,Buenos Aires,78.11
0,2022-01-01,4,Buenos Aires,78.94
841,2014-01-01,1,Capital Federal,112.25
817,2014-01-01,2,Capital Federal,113.14
793,2014-01-01,3,Capital Federal,113.8
769,2014-01-01,4,Capital Federal,114.9
745,2015-01-01,1,Capital Federal,114.9
721,2015-01-01,2,Capital Federal,116.07
697,2015-01-01,3,Capital Federal,118.29
673,2015-01-01,4,Capital Federal,118.13
649,2016-01-01,1,Capital Federal,115.16
625,2016-01-01,2,Capital Federal,120.04
601,2016-01-01,3,Capital Federal,120.77
577,2016-01-01,4,Capital Federal,120.63
553,2017-01-01,1,Capital Federal,108.37
529,2017-01-01,2,Capital Federal,124.06
505,2017-01-01,3,Capital Federal,121.86
481,2017-01-01,4,Capital Federal,122.9
457,2018-01-01,1,Capital Federal,106.24
433,2018-01-01,2,Capital Federal,106.53
409,2018-01-01,3,Capital Federal,108.45
385,2018-01-01,4,Capital Federal,108.27
361,2019-01-01,1,Capital Federal,109.2
337,2019-01-01,2,Capital Federal,110.55
313,2019-01-01,3,Capital Federal,112.65
289,2019-01-01,4,Capital Federal,106.25
265,2020-01-01,1,Capital Federal,105.98
241,2020-01-01,2,Capital Federal,106.41
217,2020-01-01,3,Capital Federal,107.68
193,2020-01-01,4,Capital Federal,108.31
169,2021-01-01,1,Capital Federal,108.42
145,2021-01-01,2,Capital Federal,110.14
121,2021-01-01,3,Capital Federal,111.27
97,2021-01-01,4,Capital Federal,111.27
73,2022-01-01,1,Capital Federal,111.8
49,2022-01-01,2,Capital Federal,121.31
25,2022-01-01,3,Capital Federal,122.28
1,2022-01-01,4,Capital Federal,122.73
842,2014-01-01,1,Catamarca,24.25
818,2014-01-01,2,Catamarca,24.7
794,2014-01-01,3,Catamarca,24.71
770,2014-01-01,4,Catamarca,25.51
746,2015-01-01,1,Catamarca,25.11
722,2015-01-01,2,Catamarca,25.45
698,2015-01-01,3,Catamarca,25.86
674,2015-01-01,4,Catamarca,26.24
650,2016-01-01,1,Catamarca,25.91
626,2016-01-01,2,Catamarca,26.07
602,2016-01-01,3,Catamarca,26.48
578,2016-01-01,4,Catamarca,26.54
554,2017-01-01,1,Catamarca,25.66
530,2017-01-01,2,Catamarca,25.98
506,2017-01-01,3,Catamarca,32.49
482,2017-01-01,4,Catamarca,28.62
458,2018-01-01,1,Catamarca,32.79
434,2018-01-01,2,Catamarca,32.86
410,2018-01-01,3,Catamarca,32.92
386,2018-01-01,4,Catamarca,32.23
362,2019-01-01,1,Catamarca,32.19
338,2019-01-01,2,Catamarca,32.13
314,2019-01-01,3,Catamarca,30.88
290,2019-01-01,4,Catamarca,36.44
266,2020-01-01,1,Catamarca,37.62
242,2020-01-01,2,Catamarca,45.43
218,2020-01-01,3,Catamarca,47.16
194,2020-01-01,4,Catamarca,49.41
170,2021-01-01,1,Catamarca,48.9
146,2021-01-01,2,Catamarca,52.34
122,2021-01-01,3,Catamarca,52.71
98,2021-01-01,4,Catamarca,55.25
74,2022-01-01,1,Catamarca,58.21
50,2022-01-01,2,Catamarca,62.4
26,2022-01-01,3,Catamarca,65.33
2,2022-01-01,4,Catamarca,65.77
843,2014-01-01,1,Chaco,20.72
819,2014-01-01,2,Chaco,20.96
795,2014-01-01,3,Chaco,21.11
771,2014-01-01,4,Chaco,21.87
747,2015-01-01,1,Chaco,26.65
723,2015-01-01,2,Chaco,27.46
699,2015-01-01,3,Chaco,27.96
675,2015-01-01,4,Chaco,28.35
651,2016-01-01,1,Chaco,28.08
627,2016-01-01,2,Chaco,28.59
603,2016-01-01,3,Chaco,28.91
579,2016-01-01,4,Chaco,28.79
555,2017-01-01,1,Chaco,28.62
531,2017-01-01,2,Chaco,29.05
507,2017-01-01,3,Chaco,29.98
483,2017-01-01,4,Chaco,30.81
459,2018-01-01,1,Chaco,30.83
435,2018-01-01,2,Chaco,31.25
411,2018-01-01,3,Chaco,32.28
387,2018-01-01,4,Chaco,32.59
363,2019-01-01,1,Chaco,32.64
339,2019-01-01,2,Chaco,34.14
315,2019-01-01,3,Chaco,35.85
291,2019-01-01,4,Chaco,36.84
267,2020-01-01,1,Chaco,37.48
243,2020-01-01,2,Chaco,39.83
219,2020-01-01,3,Chaco,41.54
195,2020-01-01,4,Chaco,43.03
171,2021-01-01,1,Chaco,43.14
147,2021-01-01,2,Chaco,43.33
123,2021-01-01,3,Chaco,42.96
99,2021-01-01,4,Chaco,44.05
75,2022-01-01,1,Chaco,44.06
51,2022-01-01,2,Chaco,43.79
27,2022-01-01,3,Chaco,43.86
3,2022-01-01,4,Chaco,43.62
844,2014-01-01,1,Chubut,41.24
820,2014-01-01,2,Chubut,41.41
796,2014-01-01,3,Chubut,40.6
772,2014-01-01,4,Chubut,40.25
748,2015-01-01,1,Chubut,37.61
724,2015-01-01,2,Chubut,36.58
700,2015-01-01,3,Chubut,36.81
676,2015-01-01,4,Chubut,36.89
652,2016-01-01,1,Chubut,36.09
628,2016-01-01,2,Chubut,36.12
604,2016-01-01,3,Chubut,36.18
580,2016-01-01,4,Chubut,36.07
556,2017-01-01,1,Chubut,35.66
532,2017-01-01,2,Chubut,35.55
508,2017-01-01,3,Chubut,46.22
484,2017-01-01,4,Chubut,51.46
460,2018-01-01,1,Chubut,53.72
436,2018-01-01,2,Chubut,54.9
412,2018-01-01,3,Chubut,56.39
388,2018-01-01,4,Chubut,42.61
364,2019-01-01,1,Chubut,43.0
340,2019-01-01,2,Chubut,46.99
316,2019-01-01,3,Chubut,47.57
292,2019-01-01,4,Chubut,51.15
268,2020-01-01,1,Chubut,51.27
244,2020-01-01,2,Chubut,57.34
220,2020-01-01,3,Chubut,68.34
196,2020-01-01,4,Chubut,68.35
172,2021-01-01,1,Chubut,68.99
148,2021-01-01,2,Chubut,72.29
124,2021-01-01,3,Chubut,80.71
100,2021-01-01,4,Chubut,82.57
76,2022-01-01,1,Chubut,88.05
52,2022-01-01,2,Chubut,83.19
28,2022-01-01,3,Chubut,84.38
4,2022-01-01,4,Chubut,85.57
846,2014-01-01,1,Corrientes,22.32
822,2014-01-01,2,Corrientes,22.58
798,2014-01-01,3,Corrientes,22.79
774,2014-01-01,4,Corrientes,23.56
750,2015-01-01,1,Corrientes,28.95
726,2015-01-01,2,Corrientes,29.58
702,2015-01-01,3,Corrientes,30.17
678,2015-01-01,4,Corrientes,30.34
654,2016-01-01,1,Corrientes,30.08
630,2016-01-01,2,Corrientes,30.58
606,2016-01-01,3,Corrientes,31.07
582,2016-01-01,4,Corrientes,30.98
558,2017-01-01,1,Corrientes,30.94
534,2017-01-01,2,Corrientes,31.39
510,2017-01-01,3,Corrientes,32.17
486,2017-01-01,4,Corrientes,32.52
462,2018-01-01,1,Corrientes,32.66
438,2018-01-01,2,Corrientes,33.81
414,2018-01-01,3,Corrientes,34.25
390,2018-01-01,4,Corrientes,34.57
366,2019-01-01,1,Corrientes,35.13
342,2019-01-01,2,Corrientes,38.16
318,2019-01-01,3,Corrientes,38.49
294,2019-01-01,4,Corrientes,38.77
270,2020-01-01,1,Corrientes,38.73
246,2020-01-01,2,Corrientes,40.3
222,2020-01-01,3,Corrientes,41.75
198,2020-01-01,4,Corrientes,42.43
174,2021-01-01,1,Corrientes,42.66
150,2021-01-01,2,Corrientes,43.54
126,2021-01-01,3,Corrientes,44.9
102,2021-01-01,4,Corrientes,45.51
78,2022-01-01,1,Corrientes,47.64
54,2022-01-01,2,Corrientes,48.35
30,2022-01-01,3,Corrientes,48.21
6,2022-01-01,4,Corrientes,51.64
845,2014-01-01,1,Córdoba,52.52
821,2014-01-01,2,Córdoba,53.45
797,2014-01-01,3,Córdoba,54.23
773,2014-01-01,4,Córdoba,54.7
749,2015-01-01,1,Córdoba,54.7
725,2015-01-01,2,Córdoba,55.87
701,2015-01-01,3,Córdoba,57.08
677,2015-01-01,4,Córdoba,57.36
653,2016-01-01,1,Córdoba,55.28
629,2016-01-01,2,Córdoba,57.55
605,2016-01-01,3,Córdoba,58.24
581,2016-01-01,4,Córdoba,57.7
557,2017-01-01,1,Córdoba,57.65
533,2017-01-01,2,Córdoba,58.97
509,2017-01-01,3,Córdoba,62.31
485,2017-01-01,4,Córdoba,63.33
461,2018-01-01,1,Córdoba,63.52
437,2018-01-01,2,Córdoba,63.27
413,2018-01-01,3,Córdoba,64.24
389,2018-01-01,4,Córdoba,65.09
365,2019-01-01,1,Córdoba,65.52
341,2019-01-01,2,Córdoba,68.07
317,2019-01-01,3,Córdoba,68.59
293,2019-01-01,4,Córdoba,70.48
269,2020-01-01,1,Córdoba,70.69
245,2020-01-01,2,Córdoba,72.71
221,2020-01-01,3,Córdoba,75.22
197,2020-01-01,4,Córdoba,78.08
173,2021-01-01,1,Córdoba,78.59
149,2021-01-01,2,Córdoba,80.12
125,2021-01-01,3,Córdoba,81.28
101,2021-01-01,4,Córdoba,84.51
77,2022-01-01,1,Córdoba,85.76
53,2022-01-01,2,Córdoba,87.48
29,2022-01-01,3,Córdoba,88.31
5,2022-01-01,4,Córdoba,89.03
847,2014-01-01,1,Entre Ríos,34.37
823,2014-01-01,2,Entre Ríos,34.69
799,2014-01-01,3,Entre Ríos,34.98
775,2014-01-01,4,Entre Ríos,36.03
751,2015-01-01,1,Entre Ríos,42.07
727,2015-01-01,2,Entre Ríos,42.93
703,2015-01-01,3,Entre Ríos,43.68
679,2015-01-01,4,Entre Ríos,44.11
655,2016-01-01,1,Entre Ríos,43.85
631,2016-01-01,2,Entre Ríos,44.74
607,2016-01-01,3,Entre Ríos,45.44
583,2016-01-01,4,Entre Ríos,45.21
559,2017-01-01,1,Entre Ríos,44.91
535,2017-01-01,2,Entre Ríos,45.39
511,2017-01-01,3,Entre Ríos,45.96
487,2017-01-01,4,Entre Ríos,47.89
463,2018-01-01,1,Entre Ríos,48.68
439,2018-01-01,2,Entre Ríos,49.2
415,2018-01-01,3,Entre Ríos,50.22
391,2018-01-01,4,Entre Ríos,54.37
367,2019-01-01,1,Entre Ríos,56.79
343,2019-01-01,2,Entre Ríos,57.48
319,2019-01-01,3,Entre Ríos,57.9
295,2019-01-01,4,Entre Ríos,57.99
271,2020-01-01,1,Entre Ríos,56.12
247,2020-01-01,2,Entre Ríos,56.54
223,2020-01-01,3,Entre Ríos,58.19
199,2020-01-01,4,Entre Ríos,59.47
175,2021-01-01,1,Entre Ríos,60.44
151,2021-01-01,2,Entre Ríos,61.66
127,2021-01-01,3,Entre Ríos,62.18
103,2021-01-01,4,Entre Ríos,63.16
79,2022-01-01,1,Entre Ríos,63.7
55,2022-01-01,2,Entre Ríos,63.9
31,2022-01-01,3,Entre Ríos,63.67
7,2022-01-01,4,Entre Ríos,64.01
848,2014-01-01,1,Formosa,17.42
824,2014-01-01,2,Formosa,17.54
800,2014-01-01,3,Formosa,17.77
776,2014-01-01,4,Formosa,17.96
752,2015-01-01,1,Formosa,18.12
728,2015-01-01,2,Formosa,18.36
704,2015-01-01,3,Formosa,18.84
680,2015-01-01,4,Formosa,19.07
656,2016-01-01,1,Formosa,19.04
632,2016-01-01,2,Formosa,19.37
608,2016-01-01,3,Formosa,18.64
584,2016-01-01,4,Formosa,19.85
560,2017-01-01,1,Formosa,19.84
536,2017-01-01,2,Formosa,19.97
512,2017-01-01,3,Formosa,21.35
488,2017-01-01,4,Formosa,21.27
464,2018-01-01,1,Formosa,21.4
440,2018-01-01,2,Formosa,29.43
416,2018-01-01,3,Formosa,29.58
392,2018-01-01,4,Formosa,29.74
368,2019-01-01,1,Formosa,29.68
344,2019-01-01,2,Formosa,30.42
320,2019-01-01,3,Formosa,30.11
296,2019-01-01,4,Formosa,30.47
272,2020-01-01,1,Formosa,30.23
248,2020-01-01,2,Formosa,31.14
224,2020-01-01,3,Formosa,31.91
200,2020-01-01,4,Formosa,32.49
176,2021-01-01,1,Formosa,32.73
152,2021-01-01,2,Formosa,33.23
128,2021-01-01,3,Formosa,33.96
104,2021-01-01,4,Formosa,34.45
80,2022-01-01,1,Formosa,34.96
56,2022-01-01,2,Formosa,43.42
32,2022-01-01,3,Formosa,43.76
8,2022-01-01,4,Formosa,39.41
849,2014-01-01,1,Jujuy,18.42
825,2014-01-01,2,Jujuy,18.71
801,2014-01-01,3,Jujuy,18.37
777,2014-01-01,4,Jujuy,19.6
753,2015-01-01,1,Jujuy,19.69
729,2015-01-01,2,Jujuy,20.29
705,2015-01-01,3,Jujuy,21.27
681,2015-01-01,4,Jujuy,21.47
657,2016-01-01,1,Jujuy,21.41
633,2016-01-01,2,Jujuy,21.89
609,2016-01-01,3,Jujuy,22.61
585,2016-01-01,4,Jujuy,22.65
561,2017-01-01,1,Jujuy,22.76
537,2017-01-01,2,Jujuy,22.4
513,2017-01-01,3,Jujuy,22.65
489,2017-01-01,4,Jujuy,22.74
465,2018-01-01,1,Jujuy,23.12
441,2018-01-01,2,Jujuy,23.43
417,2018-01-01,3,Jujuy,23.26
393,2018-01-01,4,Jujuy,46.53
369,2019-01-01,1,Jujuy,46.41
345,2019-01-01,2,Jujuy,44.51
321,2019-01-01,3,Jujuy,44.32
297,2019-01-01,4,Jujuy,45.38
273,2020-01-01,1,Jujuy,46.67
249,2020-01-01,2,Jujuy,47.89
225,2020-01-01,3,Jujuy,54.04
201,2020-01-01,4,Jujuy,53.46
177,2021-01-01,1,Jujuy,55.63
153,2021-01-01,2,Jujuy,56.18
129,2021-01-01,3,Jujuy,55.69
105,2021-01-01,4,Jujuy,56.92
81,2022-01-01,1,Jujuy,58.06
57,2022-01-01,2,Jujuy,57.32
33,2022-01-01,3,Jujuy,58.91
9,2022-01-01,4,Jujuy,58.46
850,2014-01-01,1,La Pampa,48.43
826,2014-01-01,2,La Pampa,49.71
802,2014-01-01,3,La Pampa,55.78
778,2014-01-01,4,La Pampa,51.27
754,2015-01-01,1,La Pampa,55.51
730,2015-01-01,2,La Pampa,56.71
706,2015-01-01,3,La Pampa,57.96
682,2015-01-01,4,La Pampa,58.76
658,2016-01-01,1,La Pampa,57.84
634,2016-01-01,2,La Pampa,60.44
610,2016-01-01,3,La Pampa,61.73
586,2016-01-01,4,La Pampa,63.02
562,2017-01-01,1,La Pampa,62.67
538,2017-01-01,2,La Pampa,63.49
514,2017-01-01,3,La Pampa,69.14
490,2017-01-01,4,La Pampa,71.05
466,2018-01-01,1,La Pampa,71.75
