,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hogares posterior,Variacion Trimestral
840,2014-01-01,1,Buenos Aires,"54,57","55,06","0,9"
816,2014-01-01,2,Buenos Aires,"55,06","56,75","3,07"
792,2014-01-01,3,Buenos Aires,"56,75","56,09","-1,16"
768,2014-01-01,4,Buenos Aires,"56,09","56,37","0,5"
744,2015-01-01,1,Buenos Aires,"56,37","56,8","0,76"
720,2015-01-01,2,Buenos Aires,"56,8","57,69","1,57"
696,2015-01-01,3,Buenos Aires,"57,69","58,29","1,04"
672,2015-01-01,4,Buenos Aires,"58,29","57,34","-1,63"
648,2016-01-01,1,Buenos Aires,"57,34","59,34","3,49"
624,2016-01-01,2,Buenos Aires,"59,34","60,14","1,35"
600,2016-01-01,3,Buenos Aires,"60,14","61,24","1,83"
576,2016-01-01,4,Buenos Aires,"61,24","58,57","-4,36"
552,2017-01-01,1,Buenos Aires,"58,57","56,27","-3,93"
528,2017-01-01,2,Buenos Aires,"56,27","55,63","-1,14"
504,2017-01-01,3,Buenos Aires,"55,63","57,61","3,56"
480,2017-01-01,4,Buenos Aires,"57,61","62,63","8,71"
456,2018-01-01,1,Buenos Aires,"62,63","62,78","0,24"
432,2018-01-01,2,Buenos Aires,"62,78","64,44","2,64"
408,2018-01-01,3,Buenos Aires,"64,44","64,6","0,25"
384,2018-01-01,4,Buenos Aires,"64,6","66,24","2,54"
360,2019-01-01,1,Buenos Aires,"66,24","67,85","2,43"
336,2019-01-01,2,Buenos Aires,"67,85","69,36","2,23"
312,2019-01-01,3,Buenos Aires,"69,36","64,25","-7,37"
288,2019-01-01,4,Buenos Aires,"64,25","64,33","0,12"
264,2020-01-01,1,Buenos Aires,"64,33","65,22","1,38"
240,2020-01-01,2,Buenos Aires,"65,22","67,66","3,74"
216,2020-01-01,3,Buenos Aires,"67,66","68,98","1,95"
192,2020-01-01,4,Buenos Aires,"68,98","69,11","0,19"
168,2021-01-01,1,Buenos Aires,"69,11","70,0","1,29"
144,2021-01-01,2,Buenos Aires,"70,0","71,68","2,4"
120,2021-01-01,3,Buenos Aires,"71,68","75,66","5,55"
96,2021-01-01,4,Buenos Aires,"75,66","76,08","0,56"
72,2022-01-01,1,Buenos Aires,"76,08","77,58","1,97"
48,2022-01-01,2,Buenos Aires,"77,58","78,11","0,68"
24,2022-01-01,3,Buenos Aires,"78,11","78,94","1,06"
0,2022-01-01,4,Buenos Aires,"78,94","112,25","42,2"
841,2014-01-01,1,Capital Federal,"112,25","113,14","0,79"
817,2014-01-01,2,Capital Federal,"113,14","113,8","0,58"
793,2014-01-01,3,Capital Federal,"113,8","114,9","0,97"
769,2014-01-01,4,Capital Federal,"114,9","114,9","0,0"
