,Provincia,Partido,Localidad,ADSL,Cablemódem,Dial Up,Fibra óptica,4G,3G,Telefonía Fija,Wireless,Satelital
0,BUENOS AIRES,9 de Julio,Alfredo Demarchi (Est. Facundo Quiroga),SI,NO,NO,NO,SI,SI,SI,NO,NO
1,BUENOS AIRES,9 de Julio,Carlos María Naón,NO,NO,NO,NO,SI,SI,SI,NO,NO
2,BUENOS AIRES,9 de Julio,Dudignac,NO,NO,SI,NO,SI,SI,SI,SI,NO
3,BUENOS AIRES,9 de Julio,La Aurora (Est. La Niña),NO,NO,NO,NO,SI,NO,NO,NO,NO
4,BUENOS AIRES,9 de Julio,Manuel B. Gonnet (Est. French),SI,NO,NO,SI,SI,SI,SI,NO,NO
5,BUENOS AIRES,9 de Julio,Marcelino Ugarte (Est. Dennehy),NO,NO,NO,NO,SI,NO,SI,NO,NO
6,BUENOS AIRES,9 de Julio,Morea,NO,NO,NO,NO,NO,NO,SI,SI,NO
7,BUENOS AIRES,9 de Julio,Norumbega,NO,NO,NO,NO,NO,NO,SI,NO,NO
8,BUENOS AIRES,9 de Julio,Patricios,SI,NO,NO,NO,NO,SI,SI,SI,NO
9,BUENOS AIRES,9 de Julio,Villa General Fournier (Est. 9 de Julio Sud),NO,NO,NO,SI,SI,SI,SI,SI,NO
10,BUENOS AIRES,Adolfo Alsina,Carhué,SI,NO,SI,SI,SI,SI,SI,SI,NO
11,BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,NO,NO,NO,SI,SI,NO,SI,NO,NO
12,BUENOS AIRES,Adolfo Alsina,Delfín Huergo,NO,NO,NO,NO,NO,NO,NO,NO,NO
13,BUENOS AIRES,Adolfo Alsina,Espartillar,NO,NO,NO,NO,SI,NO,NO,NO,NO
14,BUENOS AIRES,Azul,Ariel,NO,NO,NO,NO,SI,NO,NO,NO,NO
15,BUENOS AIRES,Azul,Azul,SI,SI,SI,SI,SI,SI,SI,SI,SI
16,BUENOS AIRES,Azul,Cacharí,NO,NO,SI,NO,SI,SI,SI,SI,NO
17,BUENOS AIRES,Azul,Chillar,NO,NO,NO,NO,SI,SI,SI,SI,SI
18,BUENOS AIRES,Bahía Blanca,Bahía Blanca,SI,SI,SI,SI,SI,SI,SI,SI,SI
19,BUENOS AIRES,Bahía Blanca,Cabildo,NO,SI,SI,SI,SI,SI,SI,SI,NO
20,BUENOS AIRES,Bahía Blanca,General Daniel Cerri (Est. General Cerri),SI,SI,SI,SI,SI,SI,SI,SI,NO
